Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,155.2628629207611,0:00:02,16.30298349261284,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",37.5988233089447,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:00,20220117_1711,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR0.0002_Batch128_LossBCEWithLogitsLoss
2,118.15970161557198,0:00:01,14.010644555091858,0:00:00,"{'f1': 0.020735155513666347, 'precision': 0.7857142857142857, 'accuracy': 0.763648771610555, 'roc_auc_score': 0.5048052092129741}",32.26409691572189,"{'f1': 0.02030869212022746, 'precision': 0.8333333333333334, 'accuracy': 0.7648435214975139, 'roc_auc_score': 0.5048203138136876}",0:00:00,20220117_1711,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR0.0002_Batch128_LossBCEWithLogitsLoss
3,110.41645959019661,0:00:01,13.350409895181656,0:00:00,"{'f1': 0.1367221735319895, 'precision': 0.8297872340425532, 'accuracy': 0.7759326660600546, 'roc_auc_score': 0.5348605108996314}",30.60668671131134,"{'f1': 0.14634146341463414, 'precision': 0.8369098712446352, 'accuracy': 0.7782002534854245, 'roc_auc_score': 0.5376623455103413}",0:00:00,20220117_1711,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR0.0002_Batch128_LossBCEWithLogitsLoss
4,108.77960848808289,0:00:01,12.962681084871292,0:00:00,"{'f1': 0.32547528517110264, 'precision': 0.7985074626865671, 'accuracy': 0.7982256596906279, 'roc_auc_score': 0.5941346445345843}",30.013312846422195,"{'f1': 0.3397807865892972, 'precision': 0.7865671641791044, 'accuracy': 0.800331480939846, 'roc_auc_score': 0.5992096592819909}",0:00:00,20220117_1711,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR0.0002_Batch128_LossBCEWithLogitsLoss
5,107.76425585150719,0:00:01,13.036086797714233,0:00:00,"{'f1': 0.2624798711755234, 'precision': 0.8358974358974359, 'accuracy': 0.7916287534121929, 'roc_auc_score': 0.5730639062309724}",30.08305075764656,"{'f1': 0.2782134333446982, 'precision': 0.8143712574850299, 'accuracy': 0.7936043677488545, 'roc_auc_score': 0.5779390869345887}",0:00:00,20220117_1711,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR0.0002_Batch128_LossBCEWithLogitsLoss
6,106.91676339507103,0:00:01,12.958356887102127,0:00:00,"{'f1': 0.36524300441826213, 'precision': 0.797427652733119, 'accuracy': 0.8039126478616925, 'roc_auc_score': 0.6090278270923223}",29.95822224020958,"{'f1': 0.392483056069008, 'precision': 0.7825552825552825, 'accuracy': 0.8077410548893439, 'roc_auc_score': 0.619652266899277}",0:00:00,20220117_1711,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR0.0002_Batch128_LossBCEWithLogitsLoss
7,106.00857627391815,0:00:01,12.977475851774216,0:00:00,"{'f1': 0.33933933933933935, 'precision': 0.7929824561403509, 'accuracy': 0.7998180163785259, 'roc_auc_score': 0.5991188120703752}",29.74269723892212,"{'f1': 0.36656151419558364, 'precision': 0.7872628726287263, 'accuracy': 0.8042312567027395, 'roc_auc_score': 0.6094170642761055}",0:00:00,20220117_1711,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR0.0002_Batch128_LossBCEWithLogitsLoss
8,105.34397187829018,0:00:01,12.813340291380882,0:00:00,"{'f1': 0.3320754716981132, 'precision': 0.7913669064748201, 'accuracy': 0.7986806187443131, 'roc_auc_score': 0.5964027808554806}",29.435919642448425,"{'f1': 0.36219473517285133, 'precision': 0.7919556171983356, 'accuracy': 0.8039387735205226, 'roc_auc_score': 0.6078084275685219}",0:00:00,20220117_1712,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR0.0002_Batch128_LossBCEWithLogitsLoss
9,104.89877060055733,0:00:01,12.685352981090546,0:00:00,"{'f1': 0.3430711610486891, 'precision': 0.7951388888888888, 'accuracy': 0.8005004549590536, 'roc_auc_score': 0.6005514768268222}",29.71625816822052,"{'f1': 0.3659385881608104, 'precision': 0.7950481430536451, 'accuracy': 0.8047187286731013, 'roc_auc_score': 0.6093114700689424}",0:00:00,20220117_1712,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR0.0002_Batch128_LossBCEWithLogitsLoss
10,104.53117641806602,0:00:01,12.687799274921417,0:00:00,"{'f1': 0.42945629731589813, 'precision': 0.7684729064039408, 'accuracy': 0.8114194722474978, 'roc_auc_score': 0.6349630946585433}",29.45218139886856,"{'f1': 0.45764192139737997, 'precision': 0.7836490528414756, 'accuracy': 0.818367943843229, 'roc_auc_score': 0.6477295800403565}",0:00:00,20220117_1712,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR0.0002_Batch128_LossBCEWithLogitsLoss
