Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,91.67903512716293,0:00:01,12.255452454090118,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",27.91884434223175,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:00,20220117_1705,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
2,90.64404213428497,0:00:01,12.091027319431305,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",27.53347533941269,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:00,20220117_1705,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
3,89.4330136179924,0:00:01,11.917263507843018,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",27.132670402526855,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:00,20220117_1705,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
4,87.95902019739151,0:00:01,11.682627499103546,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",26.622622668743134,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:00,20220117_1705,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
5,86.19626706838608,0:00:01,11.440678596496582,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",26.017702519893646,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:00,20220117_1705,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
6,84.10470789670944,0:00:01,11.131761193275452,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",25.361940503120422,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:00,20220117_1705,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
7,81.89006978273392,0:00:01,10.816505074501038,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",24.596737027168274,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:00,20220117_1705,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
8,79.47882616519928,0:00:01,10.51171350479126,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",23.79375684261322,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:00,20220117_1706,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
9,77.19534021615982,0:00:01,10.193208992481232,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",23.18880009651184,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:00,20220117_1706,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
10,75.27566397190094,0:00:01,9.9686958193779,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",22.63528549671173,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:00,20220117_1706,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepcross/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
