Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,55.709876120090485,0:00:07,6.530389577150345,0:00:00,"{'f1': 0.4945825366475462, 'precision': 0.7432950191570882, 'accuracy': 0.8196087352138307, 'roc_auc_score': 0.6652853365685576}",14.7358418405056,"{'f1': 0.5302424726885159, 'precision': 0.753217259651779, 'accuracy': 0.8281173832504631, 'roc_auc_score': 0.6837334738103246}",0:00:01,20220119_1953,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
2,51.38626316189766,0:00:06,6.485948830842972,0:00:00,"{'f1': 0.495176848874598, 'precision': 0.7578740157480315, 'accuracy': 0.8214285714285714, 'roc_auc_score': 0.6654949530901041}",14.33055229485035,"{'f1': 0.518176885512751, 'precision': 0.7615629984051037, 'accuracy': 0.8268499561275227, 'roc_auc_score': 0.6772350292164117}",0:00:01,20220119_1953,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
3,50.48904314637184,0:00:06,6.470218479633331,0:00:00,"{'f1': 0.484375, 'precision': 0.7607361963190185, 'accuracy': 0.8198362147406734, 'roc_auc_score': 0.6601825289334967}",14.33209303021431,"{'f1': 0.5189218622379526, 'precision': 0.7679290894439967, 'accuracy': 0.8277274056741737, 'roc_auc_score': 0.6775267204052464}",0:00:01,20220119_1953,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
4,49.9034877717495,0:00:06,6.506199926137924,0:00:00,"{'f1': 0.4996796925048046, 'precision': 0.7587548638132295, 'accuracy': 0.8223384895359418, 'roc_auc_score': 0.667733429386183}",14.543181598186493,"{'f1': 0.5241716458446497, 'precision': 0.772, 'accuracy': 0.8291898215852589, 'roc_auc_score': 0.680185518959139}",0:00:01,20220119_1953,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
5,49.28698015213013,0:00:06,6.355685502290726,0:00:00,"{'f1': 0.5222222222222223, 'precision': 0.7382198952879581, 'accuracy': 0.8239308462238398, 'roc_auc_score': 0.6796109859591154}",14.377644002437592,"{'f1': 0.5443632567849687, 'precision': 0.745, 'accuracy': 0.8297747879496928, 'roc_auc_score': 0.6916210641920296}",0:00:01,20220119_1953,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
6,48.98660457134247,0:00:06,6.424336284399033,0:00:00,"{'f1': 0.5252152521525215, 'precision': 0.7374784110535406, 'accuracy': 0.824385805277525, 'roc_auc_score': 0.6812226090383792}",14.51682835817337,"{'f1': 0.5556991470664254, 'precision': 0.7480862908837856, 'accuracy': 0.832407136589646, 'roc_auc_score': 0.6978805227425593}",0:00:01,20220119_1954,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
7,48.264022558927536,0:00:06,6.2990806102752686,0:00:00,"{'f1': 0.544471153846154, 'precision': 0.7341977309562399, 'accuracy': 0.8275705186533212, 'roc_auc_score': 0.6918474573515936}",14.18639451265335,"{'f1': 0.5686673448626653, 'precision': 0.7453333333333333, 'accuracy': 0.8346495076533099, 'roc_auc_score': 0.7054430279973096}",0:00:01,20220119_1954,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
8,48.03756654262543,0:00:06,6.229434788227081,0:00:00,"{'f1': 0.5315985130111525, 'precision': 0.7566137566137566, 'accuracy': 0.8280254777070064, 'roc_auc_score': 0.6842678950480023}",14.015349090099335,"{'f1': 0.5574876719439397, 'precision': 0.7558057705840957, 'accuracy': 0.8337720581066589, 'roc_auc_score': 0.6986333970909702}",0:00:01,20220119_1954,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
9,47.677377820014954,0:00:06,6.189299941062927,0:00:00,"{'f1': 0.531017369727047, 'precision': 0.7575221238938054, 'accuracy': 0.8280254777070064, 'roc_auc_score': 0.6839396384271859}",14.075826615095139,"{'f1': 0.551904016692749, 'precision': 0.7546362339514978, 'accuracy': 0.8325046309837184, 'roc_auc_score': 0.6955356166974944}",0:00:01,20220119_1954,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
10,47.28541639447212,0:00:06,6.2462258040905,0:00:00,"{'f1': 0.5184721352536006, 'precision': 0.7527272727272727, 'accuracy': 0.8250682438580528, 'roc_auc_score': 0.6774031678617661}",14.031659364700317,"{'f1': 0.5478077126254622, 'precision': 0.7658788774002954, 'accuracy': 0.8330895973481525, 'roc_auc_score': 0.6929434221035816}",0:00:01,20220119_1954,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_deepfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
