Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,92.91324490308762,0:00:05,12.476649343967438,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",28.419034481048584,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:01,20220120_1807,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_nfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
2,92.88172245025635,0:00:05,12.476649343967438,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",28.419034481048584,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:01,20220120_1807,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_nfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
3,92.88172245025635,0:00:05,12.476649343967438,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",28.419034481048584,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:01,20220120_1807,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_nfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
4,92.88172245025635,0:00:05,12.476649343967438,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",28.419034481048584,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:01,20220120_1807,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_nfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
5,92.88172245025635,0:00:05,12.476649343967438,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",28.419034481048584,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:01,20220120_1808,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_nfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
6,92.88172245025635,0:00:05,12.476649343967438,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",28.419034481048584,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:01,20220120_1808,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_nfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
7,92.88172245025635,0:00:05,12.476649343967438,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",28.419034481048584,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:01,20220120_1808,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_nfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
8,92.88172245025635,0:00:05,12.476649343967438,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",28.419034481048584,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:01,20220120_1808,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_nfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
9,92.88172245025635,0:00:05,12.476649343967438,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",28.419034481048584,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:01,20220120_1808,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_nfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
10,92.88172245025635,0:00:05,12.476649343967438,0:00:00,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7618289353958144, 'roc_auc_score': 0.5}",28.419034481048584,"{'f1': 0.0, 'precision': 0.0, 'accuracy': 0.7628936336160671, 'roc_auc_score': 0.5}",0:00:01,20220120_1808,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_nfm/results/Model_LR0.002_Batch256_LossBCEWithLogitsLoss
