Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,110.42769938707352,0:00:05,14.799133360385895,0:00:00,"{'f1': 0.13519091847265222, 'precision': 0.14702581369248036, 'accuracy': 0.618744313011829, 'roc_auc_score': 0.4490929878853058}",33.86254274845123,"{'f1': 0.13864894795127353, 'precision': 0.1502640422467595, 'accuracy': 0.6208443014526664, 'roc_auc_score': 0.45125128741382203}",0:00:01,20211230_1733,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_widedeep/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
2,108.69268500804901,0:00:05,14.18457144498825,0:00:00,"{'f1': 0.1727408886669995, 'precision': 0.1809623430962343, 'accuracy': 0.623066424021838, 'roc_auc_score': 0.46571643362157744}",32.39220970869064,"{'f1': 0.17539378458918692, 'precision': 0.18181818181818182, 'accuracy': 0.6223067173637515, 'roc_auc_score': 0.4662374936942996}",0:00:01,20211230_1733,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_widedeep/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
3,104.9528813958168,0:00:05,13.765892446041107,0:00:00,"{'f1': 0.22394571013087736, 'precision': 0.22736220472440946, 'accuracy': 0.6358052775250227, 'roc_auc_score': 0.4931160223168871}",30.98821246623993,"{'f1': 0.2333127952351612, 'precision': 0.23307345096430038, 'accuracy': 0.6360534269279516, 'roc_auc_score': 0.4973513956616781}",0:00:01,20211230_1733,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_widedeep/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
4,103.06531357765198,0:00:05,13.397433519363403,0:00:00,"{'f1': 0.25357483317445184, 'precision': 0.2530922930542341, 'accuracy': 0.6437670609645132, 'roc_auc_score': 0.5098304444754354}",30.00192403793335,"{'f1': 0.27154046997389036, 'precision': 0.2654102866117, 'accuracy': 0.6463878326996197, 'roc_auc_score': 0.5194275475029426}",0:00:01,20211230_1734,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_widedeep/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
5,102.4374732375145,0:00:05,13.195235431194305,0:00:00,"{'f1': 0.2514563106796117, 'precision': 0.25567620927936824, 'accuracy': 0.6492265696087353, 'roc_auc_score': 0.5111158072817071}",29.714676678180695,"{'f1': 0.27021494370522003, 'precision': 0.26905829596412556, 'accuracy': 0.652432485132105, 'roc_auc_score': 0.5211220993778376}",0:00:01,20211230_1734,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_widedeep/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
6,101.5726163983345,0:00:05,13.100009739398956,0:00:00,"{'f1': 0.27793696275071633, 'precision': 0.27793696275071633, 'accuracy': 0.6560509554140127, 'roc_auc_score': 0.5260989680878096}",29.424704909324646,"{'f1': 0.30288364589635003, 'precision': 0.297190344281757, 'accuracy': 0.6629618796919177, 'roc_auc_score': 0.5409172429376157}",0:00:01,20211230_1734,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_widedeep/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
7,100.7929036617279,0:00:05,12.9900461435318,0:00:00,"{'f1': 0.29668246445497637, 'precision': 0.2944496707431797, 'accuracy': 0.6624203821656051, 'roc_auc_score': 0.5375009660897507}",29.429910957813263,"{'f1': 0.3133880328196918, 'precision': 0.30526315789473685, 'accuracy': 0.6654967339377986, 'roc_auc_score': 0.547112803724567}",0:00:01,20211230_1734,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_widedeep/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
8,100.10697841644287,0:00:05,12.887179553508759,0:00:00,"{'f1': 0.2994241842610365, 'precision': 0.3008678881388621, 'accuracy': 0.6678798908098271, 'roc_auc_score': 0.5407558686209202}",29.37559872865677,"{'f1': 0.3151515151515152, 'precision': 0.30976965845909454, 'accuracy': 0.6694940040947646, 'roc_auc_score': 0.5493075290062216}",0:00:01,20211230_1734,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_widedeep/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
9,99.51042687892914,0:00:06,12.866278052330017,0:00:00,"{'f1': 0.2859931673987311, 'precision': 0.29241516966067865, 'accuracy': 0.6671974522292994, 'roc_auc_score': 0.5340710979314128}",28.676919519901276,"{'f1': 0.3059257740414189, 'precision': 0.3051124744376278, 'accuracy': 0.6699814760651263, 'roc_auc_score': 0.544809410206827}",0:00:01,20211230_1734,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_widedeep/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
10,98.79483956098557,0:00:05,12.76840353012085,0:00:00,"{'f1': 0.283743842364532, 'precision': 0.29298067141403866, 'accuracy': 0.6692447679708826, 'roc_auc_score': 0.5337734995093262}",28.612285614013672,"{'f1': 0.3058823529411765, 'precision': 0.30708661417322836, 'accuracy': 0.6721263527347178, 'roc_auc_score': 0.5455066892971246}",0:00:01,20211230_1734,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/adult_widedeep/results/Model_LR2e-05_Batch256_LossBCEWithLogitsLoss
