Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,404.6111648082733,0:00:05,52.650299072265625,0:00:01,"{0: {'f1': 0.26607717041800644, 'precision': 0.21327319587628865, 'accuracy': 0.9267857500852028, 'roc_auc_score': 0.6513835079533699}, 1: {'f1': 0.15236479321314952, 'precision': 0.08289103244565468, 'accuracy': 0.5993865399651169, 'roc_auc_score': 0.7635438146745804}}",52.63972157239914,"{0: {'f1': 0.26607717041800644, 'precision': 0.21327319587628865, 'accuracy': 0.9267857500852028, 'roc_auc_score': 0.6513835079533699}, 1: {'f1': 0.15236479321314952, 'precision': 0.08289103244565468, 'accuracy': 0.5993865399651169, 'roc_auc_score': 0.7635438146745804}}",0:00:02,20211226_1843,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
2,229.7606599330902,0:00:04,39.19335901737213,0:00:01,"{0: {'f1': 0.2655310621242485, 'precision': 0.17074742268041238, 'accuracy': 0.9412201038471563, 'roc_auc_score': 0.7721543645782822}, 1: {'f1': 0.6545655579102553, 'precision': 0.4918078183412563, 'accuracy': 0.7745233656101521, 'roc_auc_score': 0.8479598664922836}}",39.21220803260803,"{0: {'f1': 0.2655310621242485, 'precision': 0.17074742268041238, 'accuracy': 0.9412201038471563, 'roc_auc_score': 0.7721543645782822}, 1: {'f1': 0.6545655579102553, 'precision': 0.4918078183412563, 'accuracy': 0.7745233656101521, 'roc_auc_score': 0.8479598664922836}}",0:00:02,20211226_1843,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
3,179.50762313604355,0:00:04,33.43924230337143,0:00:01,"{0: {'f1': 0.26793520185137565, 'precision': 0.16784793814432988, 'accuracy': 0.9429241594996091, 'roc_auc_score': 0.8055415284133308}, 1: {'f1': 0.8149230728350119, 'precision': 0.7077121890432455, 'accuracy': 0.8603676750666587, 'roc_auc_score': 0.886842174516912}}",33.445860624313354,"{0: {'f1': 0.26793520185137565, 'precision': 0.16784793814432988, 'accuracy': 0.9429241594996091, 'roc_auc_score': 0.8055415284133308}, 1: {'f1': 0.8149230728350119, 'precision': 0.7077121890432455, 'accuracy': 0.8603676750666587, 'roc_auc_score': 0.886842174516912}}",0:00:02,20211226_1843,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
4,157.1515673995018,0:00:04,28.60142332315445,0:00:01,"{0: {'f1': 0.2204037097654119, 'precision': 0.13015463917525774, 'accuracy': 0.9427036346504681, 'roc_auc_score': 0.8320577872040682}, 1: {'f1': 0.8500967117988395, 'precision': 0.7708035260995985, 'accuracy': 0.8819189671417975, 'roc_auc_score': 0.8968093074552516}}",28.60137915611267,"{0: {'f1': 0.2204037097654119, 'precision': 0.13015463917525774, 'accuracy': 0.9427036346504681, 'roc_auc_score': 0.8320577872040682}, 1: {'f1': 0.8500967117988395, 'precision': 0.7708035260995985, 'accuracy': 0.8819189671417975, 'roc_auc_score': 0.8968093074552516}}",0:00:02,20211226_1844,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
5,141.79944151639938,0:00:04,25.95467546582222,0:00:01,"{0: {'f1': 0.17890825950271508, 'precision': 0.10083762886597938, 'accuracy': 0.942402918947094, 'roc_auc_score': 0.8680026367257943}, 1: {'f1': 0.8583418679589339, 'precision': 0.7929570314302857, 'accuracy': 0.8863094164110583, 'roc_auc_score': 0.8965668433221726}}",25.951277315616608,"{0: {'f1': 0.17890825950271508, 'precision': 0.10083762886597938, 'accuracy': 0.942402918947094, 'roc_auc_score': 0.8680026367257943}, 1: {'f1': 0.8583418679589339, 'precision': 0.7929570314302857, 'accuracy': 0.8863094164110583, 'roc_auc_score': 0.8965668433221726}}",0:00:02,20211226_1844,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
6,132.7873768210411,0:00:04,24.097680985927582,0:00:01,"{0: {'f1': 0.15092132202398362, 'precision': 0.08311855670103092, 'accuracy': 0.941801487540346, 'roc_auc_score': 0.8808146137040943}, 1: {'f1': 0.8719144607903941, 'precision': 0.8110490607836802, 'accuracy': 0.8964936548986588, 'roc_auc_score': 0.9058011181442144}}",24.096413046121597,"{0: {'f1': 0.15092132202398362, 'precision': 0.08311855670103092, 'accuracy': 0.941801487540346, 'roc_auc_score': 0.8808146137040943}, 1: {'f1': 0.8719144607903941, 'precision': 0.8110490607836802, 'accuracy': 0.8964936548986588, 'roc_auc_score': 0.9058011181442144}}",0:00:02,20211226_1844,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
7,125.36605429649353,0:00:04,22.887131690979004,0:00:01,"{0: {'f1': 0.14096136832792686, 'precision': 0.07699742268041238, 'accuracy': 0.9416010104047633, 'roc_auc_score': 0.887491764135231}, 1: {'f1': 0.8782948979842977, 'precision': 0.8235104075321918, 'accuracy': 0.9008640564543614, 'roc_auc_score': 0.9086010001589808}}",22.885221779346466,"{0: {'f1': 0.14096136832792686, 'precision': 0.07699742268041238, 'accuracy': 0.9416010104047633, 'roc_auc_score': 0.887491764135231}, 1: {'f1': 0.8782948979842977, 'precision': 0.8235104075321918, 'accuracy': 0.9008640564543614, 'roc_auc_score': 0.9086010001589808}}",0:00:02,20211226_1844,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
8,120.07614004611969,0:00:04,22.23396572470665,0:00:01,"{0: {'f1': 0.07026194144838213, 'precision': 0.03672680412371134, 'accuracy': 0.9395160481947034, 'roc_auc_score': 0.874199026426781}, 1: {'f1': 0.8829515921400986, 'precision': 0.838879401855356, 'accuracy': 0.9033900683627032, 'roc_auc_score': 0.9084944642743962}}",22.220275580883026,"{0: {'f1': 0.07026194144838213, 'precision': 0.03672680412371134, 'accuracy': 0.9395160481947034, 'roc_auc_score': 0.874199026426781}, 1: {'f1': 0.8829515921400986, 'precision': 0.838879401855356, 'accuracy': 0.9033900683627032, 'roc_auc_score': 0.9084944642743962}}",0:00:02,20211226_1844,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
9,116.40433347225189,0:00:04,21.561347782611847,0:00:01,"{0: {'f1': 0.1118796992481203, 'precision': 0.059922680412371136, 'accuracy': 0.9407991018624325, 'roc_auc_score': 0.8914346971168654}, 1: {'f1': 0.8846547938521592, 'precision': 0.8368025107306042, 'accuracy': 0.9052144102965057, 'roc_auc_score': 0.9112987385618542}}",21.556413620710373,"{0: {'f1': 0.1118796992481203, 'precision': 0.059922680412371136, 'accuracy': 0.9407991018624325, 'roc_auc_score': 0.8914346971168654}, 1: {'f1': 0.8846547938521592, 'precision': 0.8368025107306042, 'accuracy': 0.9052144102965057, 'roc_auc_score': 0.9112987385618542}}",0:00:02,20211226_1844,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
10,112.37536597251892,0:00:04,21.015510231256485,0:00:01,"{0: {'f1': 0.14420247204237788, 'precision': 0.07893041237113402, 'accuracy': 0.9417012489725547, 'roc_auc_score': 0.8878385463932079}, 1: {'f1': 0.8858726167517028, 'precision': 0.837402501499977, 'accuracy': 0.9062769391150939, 'roc_auc_score': 0.9125556621014594}}",21.015651434659958,"{0: {'f1': 0.14420247204237788, 'precision': 0.07893041237113402, 'accuracy': 0.9417012489725547, 'roc_auc_score': 0.8878385463932079}, 1: {'f1': 0.8858726167517028, 'precision': 0.837402501499977, 'accuracy': 0.9062769391150939, 'roc_auc_score': 0.9125556621014594}}",0:00:02,20211226_1844,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR0.0001_Batch1024_LossBCELoss
