Epoch,Train Loss,Trian Time,Valid Loss,Valid Time,Eval Metrics,Test Loss,Test Metrics,Test Time,Time,Test Result Dir
1,6202.436842083931,0:00:17,781.2416018843651,0:00:01,"{0: {'f1': 0.11496936095710535, 'precision': 0.06346649484536082, 'accuracy': 0.9391952847777711}, 1: {'f1': 0.0001845444059976932, 'precision': 9.230627221119675e-05, 'accuracy': 0.5655459994787595}}",781.2059037089348,"{0: {'f1': 0.11496936095710535, 'precision': 0.06346649484536082, 'accuracy': 0.9391952847777711}, 1: {'f1': 0.0001845444059976932, 'precision': 9.230627221119675e-05, 'accuracy': 0.5655459994787595}}",0:00:03,20211226_1654,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR1e-05_Batch64_LossBCELoss
2,3568.568135499954,0:00:17,746.6202628016472,0:00:01,"{0: {'f1': 0.03129890453834116, 'precision': 0.01610824742268041, 'accuracy': 0.9379523265371584}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",746.560619354248,"{0: {'f1': 0.03129890453834116, 'precision': 0.01610824742268041, 'accuracy': 0.9379523265371584}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",0:00:03,20211226_1654,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR1e-05_Batch64_LossBCELoss
3,3339.5205497145653,0:00:17,725.1858036518097,0:00:01,"{0: {'f1': 0.023921938936103244, 'precision': 0.012242268041237113, 'accuracy': 0.9378320402558088}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",725.0890902876854,"{0: {'f1': 0.023921938936103244, 'precision': 0.012242268041237113, 'accuracy': 0.9378320402558088}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",0:00:03,20211226_1654,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR1e-05_Batch64_LossBCELoss
4,3240.2943680882454,0:00:17,714.3381672501564,0:00:01,"{0: {'f1': 0.006402048655569782, 'precision': 0.0032216494845360823, 'accuracy': 0.937771897115134}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",714.2885864973068,"{0: {'f1': 0.006402048655569782, 'precision': 0.0032216494845360823, 'accuracy': 0.937771897115134}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",0:00:03,20211226_1655,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR1e-05_Batch64_LossBCELoss
5,3161.227851331234,0:00:18,705.6920594573021,0:00:01,"{0: {'f1': 0.0057692307692307696, 'precision': 0.0028994845360824743, 'accuracy': 0.9378119925422506}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",705.7510511875153,"{0: {'f1': 0.0057692307692307696, 'precision': 0.0028994845360824743, 'accuracy': 0.9378119925422506}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",0:00:03,20211226_1655,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR1e-05_Batch64_LossBCELoss
6,3126.4097346663475,0:00:18,699.6720709204674,0:00:01,"{0: {'f1': 0.04690431519699813, 'precision': 0.02416237113402062, 'accuracy': 0.9388945690743971}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",699.7560213804245,"{0: {'f1': 0.04690431519699813, 'precision': 0.02416237113402062, 'accuracy': 0.9388945690743971}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",0:00:03,20211226_1655,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR1e-05_Batch64_LossBCELoss
7,3084.9322949647903,0:00:18,694.3704606294632,0:00:01,"{0: {'f1': 0.0439146800501882, 'precision': 0.022551546391752577, 'accuracy': 0.9388945690743971}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",694.460541844368,"{0: {'f1': 0.0439146800501882, 'precision': 0.022551546391752577, 'accuracy': 0.9388945690743971}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",0:00:03,20211226_1656,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR1e-05_Batch64_LossBCELoss
8,3070.5743449926376,0:00:19,689.8224257826805,0:00:01,"{0: {'f1': 0.05246720799500313, 'precision': 0.027061855670103094, 'accuracy': 0.9391752370642128}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",689.8565734028816,"{0: {'f1': 0.05246720799500313, 'precision': 0.027061855670103094, 'accuracy': 0.9391752370642128}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",0:00:03,20211226_1656,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR1e-05_Batch64_LossBCELoss
9,3053.9982718229294,0:00:18,687.4665788412094,0:00:01,"{0: {'f1': 0.05246720799500313, 'precision': 0.027061855670103094, 'accuracy': 0.9391752370642128}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",687.5266442894936,"{0: {'f1': 0.05246720799500313, 'precision': 0.027061855670103094, 'accuracy': 0.9391752370642128}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",0:00:03,20211226_1657,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR1e-05_Batch64_LossBCELoss
10,3048.2073655724525,0:00:19,686.5205289125443,0:00:01,"{0: {'f1': 0.054273237679351216, 'precision': 0.02802835051546392, 'accuracy': 0.9392153324913294}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",686.50377368927,"{0: {'f1': 0.054273237679351216, 'precision': 0.02802835051546392, 'accuracy': 0.9392153324913294}, 1: {'f1': 0.0, 'precision': 0.0, 'accuracy': 0.5656261903329926}}",0:00:03,20211226_1657,/Users/barryzhou/Desktop/Barry2022/codes/ltr/ltr_sota/examples/census_income_mmoe/results/Model_LR1e-05_Batch64_LossBCELoss
